,cleanedtext,standardized
22222,who likes rock party super is coming on october 5th ,['marioparty']
22294,get party started super comes on ,['marioparty']
22425,who likes rock party super is coming on ,['marioparty']
22451,get party started super comes on ,['marioparty']
22473,get party started super comes on ,['marioparty']
22527,friends become enemies once more in coming october switch ,['marioparty']
22556,get party started super comes on ,['marioparty']
22646,who likes rock party super is coming on ,['marioparty']
22690,get party started super comes on ,['marioparty']
22696,friends become enemies once more in coming october switch ,['marioparty']
22701,get party started super comes on ,['marioparty']
22742,who likes rock party super is coming on ,['marioparty']
22749,who likes rock party super is coming on ,['marioparty']
22752,who likes rock party super is coming on ,['marioparty']
22753,who likes rock party super is coming on ,['marioparty']
22754,who likes rock party super is coming on october 5th ,['marioparty']
22760,get party started super comes on ,['marioparty']
22836,in game play ,"['pokemonletsgo', 'marioparty']"
22842,who likes rock party super is coming on ,['marioparty']
22941,get party started super comes on ,['marioparty']
22944,party game desses pro switch agora on go super ,['marioparty']
22998,who likes rock party super is coming on ,['marioparty']
23023,friends become enemies once more in coming october switch ,['marioparty']
23042,get party started super comes on ,['marioparty']
23057,get party started super comes on ,['marioparty']
23126,super party switch ,['marioparty']
23132,friends become enemies once more in coming october switch ,['marioparty']
23162,who likes rock party super is coming on ,['marioparty']
23168,get party started super comes on ,['marioparty']
23172,get party started super comes on ,['marioparty']
23220,friends become enemies once more in coming october switch ,['marioparty']
23276,who likes rock party super is coming on ,['marioparty']
23388,get party started super comes on ,['marioparty']
23431,para ,['marioparty']
23459,who likes rock party super is coming on ,['marioparty']
23482,friends become enemies once more in coming october switch ,['marioparty']
23542,who likes rock party super is coming on october 5th ,['marioparty']
23559,who likes rock party super is coming on october 5th ,['marioparty']
23581,who likes rock party super is coming on october 5th ,['marioparty']
23669,get party started super comes on ,['marioparty']
23699,friends become enemies once more in coming october switch ,['marioparty']
23700,get party started super comes on ,['marioparty']
23811,die party am ,['marioparty']
24046,who likes rock party super is coming on ,['marioparty']
24057,get party started super comes on ,['marioparty']
24087,die party am ,['marioparty']
24093,get party started super comes on ,['marioparty']
24104,also getting on switch thank bout get even more messy now ,['marioparty']
24167,who likes rock party super is coming on ,['marioparty']
24188,who likes rock party super is coming on ,['marioparty']
24209,get party started super comes on ,['marioparty']
24226,all way ,['marioparty']
24254,friends become enemies once more in coming october switch ,['marioparty']
24335,get party started super comes on ,['marioparty']
24339,get party started super comes on ,['marioparty']
24411,get party started super comes on ,['marioparty']
