,cleanedtext,standardized
16238,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
16329,beauty name is ,['pokemonletsgo']
16523,not huge fan but still love some so seems be ,"['pokemonletsgo', 'pokemonletsgo', 'pokemonletsgo']"
16568,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
16915,only way get mew in is sure it ,['pokemonletsgo']
17125,looking forward so made vector illustration first game was yellow ,"['pokemonletsgo', 'pokemonletsgo']"
17227,news mew comes exclusive every in go ,['pokemonletsgo']
17655,mew comes every plus purchase lets go ,"['pokemonletsgo', 'pokemonletsgo']"
17883,news mew comes exclusive every in go ,['pokemonletsgo']
18333,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
18978,news mew comes exclusive every in go ,['pokemonletsgo']
19562,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
19978,am going be buying switch just go bet ass am ,['pokemonletsgo']
20142,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
20609,das mew in den ,['pokemonletsgo']
21379,news mew comes exclusive every in go ,['pokemonletsgo']
21404,mew comes every ,['pokemonletsgo']
21525,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
21702,in game ,"['pokemonletsgo', 'marioparty']"
21847,not nostalgic are comes out november 16th ,['pokemonletsgo']
22122,just reiterated great is going be ,['pokemonletsgo']
22157,need more news come on ,['pokemonletsgo']
22479,das mew in den ,['pokemonletsgo']
22740,not nostalgic are comes out november 16th ,['pokemonletsgo']
22836,in game play ,"['pokemonletsgo', 'marioparty']"
22987,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
23577,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
23796,not nostalgic are comes out november 16th ,['pokemonletsgo']
24037,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
24219,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
24545,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
24615,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
24637,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
25243,gets even better now kids are going love ,['pokemonletsgo']
25445,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
25632,news mew comes exclusive every in go ,['pokemonletsgo']
26089,news mew comes exclusive every in go ,['pokemonletsgo']
26759,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
27077,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
27380,taking on right now too miss out ,['pokemonletsgo']
27942,literally all wanted maybe new ,"['marioparty', 'pokemonletsgo']"
28284,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
28333,news mew comes exclusive every in go ,['pokemonletsgo']
28546,news mew comes exclusive every in go ,['pokemonletsgo']
29608,freaking want is literally killing me cause broke ,['pokemonletsgo']
29693,smash switch is next 3ds switch ,['pokemonletsgo']
30200,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
31419,news mew comes exclusive every in go ,['pokemonletsgo']
31537,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
33149,news mew comes exclusive every in go ,['pokemonletsgo']
34219,like are inner child ,"['pokemonletsgo', 'smashbros']"
35983,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
36555,smash smash smash ,"['pokemonletsgo', 'smashbros']"
38861,new plus excited ,"['pokemonletsgo', 'pokemonletsgo']"
39922,news mew comes exclusive every in go ,['pokemonletsgo']
40693,mew con todas las plus hype ,"['pokemonletsgo', 'pokemonletsgo']"
41072,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
41357,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
42248,there is female ,['pokemonletsgo']
42680,is here ,"['smashbros', 'pokemonletsgo']"
42802,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
43524,news mew comes exclusive every in go ,['pokemonletsgo']
44168,getting addiction unlock all ,"['pokemonletsgo', 'smashbros']"
44338,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
44825,is girl thanks ,['pokemonletsgo']
44834,in also has female version ,"['pokemonletsgo', 'smashbros']"
45117,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
47341,trainer returns change as much as like no ,['pokemonletsgo']
47593,trainer returns change as much as like no penalty ,['pokemonletsgo']
47710,trainer returns change as much as like no penalty ,['pokemonletsgo']
47775,trainer returns change as much as like no penalty ,['pokemonletsgo']
47978,trainer returns change as much as like no penalty ,['pokemonletsgo']
48041,can play as female ,"['smashbros', 'pokemonletsgo']"
48165,trainer returns change as much as like no penalty ,['pokemonletsgo']
48258,girl trainer found main ,"['pokemonletsgo', 'smashbros']"
48317,trainer returns change as much as like no penalty ,['pokemonletsgo']
48391,trainer returns change as much as like no penalty ,['pokemonletsgo']
48617,is girl look at cute ,['pokemonletsgo']
48913,has look link between worlds female trainer ,['pokemonletsgo']
48942,trainer girl is here shiny trainer in ,"['pokemonletsgo', 'pokemonletsgo', 'smashbros']"
48949,trainer returns change as much as like no penalty ,['pokemonletsgo']
48962,trainer returns change as much as like no penalty ,['pokemonletsgo']
49091,trainer returns change as much as like no penalty ,['pokemonletsgo']
49283,trainer returns change as much as like no penalty ,['pokemonletsgo']
49403,trainer returns change as much as like no penalty ,['pokemonletsgo']
49414,trainer returns change as much as like no penalty ,['pokemonletsgo']
49415,trainer returns change as much as like no penalty ,['pokemonletsgo']
49465,trainer returns change as much as like no penalty ,['pokemonletsgo']
49484,was wrong trainer operates like before meaning transforming characters are back were ,['pokemonletsgo']
49505,trainer returns change as much as like no penalty ,['pokemonletsgo']
49626,trainer returns change as much as like no penalty ,['pokemonletsgo']
49659,trainer returns change as much as like no penalty ,['pokemonletsgo']
49775,trainer returns change as much as like no penalty ,['pokemonletsgo']
49832,trainer returns change as much as like no penalty ,['pokemonletsgo']
50408,trainer returns change as much as like no penalty ,['pokemonletsgo']
50531,trainer returns change as much as like no penalty ,['pokemonletsgo']
51140,trainer returns change as much as like no penalty ,['pokemonletsgo']
51439,trainer returns change as much as like no penalty ,['pokemonletsgo']
51564,trainer returns change as much as like no penalty ,['pokemonletsgo']
51626,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
51717,trainer returns change as much as like no penalty ,['pokemonletsgo']
51956,trainer returns change as much as like no penalty ,['pokemonletsgo']
52035,can play as female ,"['smashbros', 'pokemonletsgo']"
52043,news mew comes exclusive every in go ,['pokemonletsgo']
52060,trainer returns change as much as like no penalty ,['pokemonletsgo']
52158,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
52242,trainer returns change as much as like no penalty ,['pokemonletsgo']
52260,trainer returns change as much as like no penalty ,['pokemonletsgo']
52425,trainer returns change as much as like no penalty ,['pokemonletsgo']
52498,trainer returns change as much as like no penalty ,['pokemonletsgo']
52507,trainer returns change as much as like no penalty ,['pokemonletsgo']
52525,trainer returns change as much as like no penalty ,['pokemonletsgo']
52796,trainer returns change as much as like no penalty ,['pokemonletsgo']
52815,trainer returns change as much as like no penalty ,['pokemonletsgo']
53236,news mew comes exclusive every in go ,['pokemonletsgo']
53661,trainer returns change as much as like no penalty ,['pokemonletsgo']
53913,trainer returns change as much as like no penalty ,['pokemonletsgo']
53961,trainer returns change as much as like no penalty ,['pokemonletsgo']
54142,trainer returns change as much as like no penalty ,['pokemonletsgo']
54984,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
56071,news mew comes exclusive every in go ,['pokemonletsgo']
57326,trainer returns change as much as like no penalty ,['pokemonletsgo']
57985,trainer returns change as much as like no penalty ,['pokemonletsgo']
58118,trainer returns change as much as like no penalty ,['pokemonletsgo']
58327,daisy 3ds switch ,"['pokemonletsgo', 'smashbros']"
59013,news mew comes exclusive every in go ,['pokemonletsgo']
60937,trainer returns change as much as like no penalty ,['pokemonletsgo']
61612,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
61782,trainer returns change as much as like no penalty ,['pokemonletsgo']
62332,pendant convention smash ,['pokemonletsgo']
62410,trainer returns change as much as like no penalty ,['pokemonletsgo']
62545,trainer returns change as much as like no penalty ,['pokemonletsgo']
62942,news mew comes exclusive every in go ,['pokemonletsgo']
63079,news mew comes exclusive every in go ,['pokemonletsgo']
63759,news mew comes exclusive every in go ,['pokemonletsgo']
63959,pendant convention smash ,['pokemonletsgo']
64249,trainer returns change as much as like no penalty ,['pokemonletsgo']
64604,trainer returns change as much as like no penalty ,['pokemonletsgo']
65212,trainer returns change as much as like no penalty ,['pokemonletsgo']
65263,trainer girl is here shiny trainer in ,"['pokemonletsgo', 'pokemonletsgo', 'smashbros']"
67145,ridley 3ds switch ,"['pokemonletsgo', 'smashbros']"
67281,trainer returns change as much as like no penalty ,['pokemonletsgo']
68939,trainer returns change as much as like no penalty ,['pokemonletsgo']
70118,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
70334,3ds switch ,['pokemonletsgo']
72937,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
73558,so made goal right between invest ,"['smashbros', 'pokemonletsgo', 'smashbros']"
73782,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
74266,mythical mew comes exclusive every can join on adventure ,"['pokemonletsgo', 'pokemonletsgo']"
74332,trainer returns change as much as like no penalty ,['pokemonletsgo']
75547,mythical mew comes exclusive every can join on adventure ,['pokemonletsgo']
