,Tweet,cleanedtext
179,"RT @E3: It's almost time for #NintendoE3! Put your Switch down, pick up your computer or phone and head to https://t.co/Oqi6XTNjbD to see e…",three house march spring 
180,WE LIVE BOIS #NintendoDirect #NintendoE3,three house march spring 
181,"RT @NintendoFrance: Le #NintendoDirect: #E32018 a commencé ! #NintendoE3

Le voir ici : https://t.co/MUeXeNOZnM https://t.co/ZBdOBpARqT",three house march spring 
182,#NintendoE3,three house march spring 
183,"EN AVANT !
#NintendoDirect",three house serum 
184,LETS GO!!!! #NintendoDirect,three house march spring 
185,#NintendoE3 let's go!!!,three house 
186,"RT @NintendoEurope: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/UQyYm8suvD https://t.co/CtpVPOI28J",three house march spring 
187,ALLÁ VAMOS #E32018 #E3 #NintendoE3,three house march spring 
188,It’s time! #nintendoe3,three house march spring 
189,#NintendoDirect AHHHH,hear look amazing wait 
190,RT @dopeisland: i just wanna know when pokémon drop #NintendoE3 https://t.co/kCOiGSZLyw,three house march spring 
191,EMPIEZA. MY BODY IS REGGIE #E32018 #NintendoE3 https://t.co/btJjx3xUiT,three house march spring 
192,"Los geht's - mal schauen welches Feuerwerk Nintendo zündet.

#E3 #E32018 #NintendoE3",make debut fire emblem fan everywhere excited next 
193,"Nintendo is LIVE!
#E32018 #NintendoE3",three house march spring 
194,Here we go. #NintendoE3 #E32018 #e3 https://t.co/7HDZFGF6hV,three house march spring 
195,RT @georgrar: 🌸Animal crossing switch summons masterpost 🌸 #e32018 #nintendoe3 #nintendo #NintendoDirect #animalcrossing https://t.co/gVosB…,three house march spring 
196,#NintendoE3 And we are live,three house march spring 
197,It’s hilarious to me that their continued refusal to allow video apps on Switch means you can’t watch their presser… https://t.co/iW15o84giM,three house march spring 
198,"Nintendo Direct is about to begin! Fingers crossed for a new Animal Crossing, but I’m excited to see a new Smash! {… https://t.co/zwySaAvN4E",three house march spring 
199,It's starting! #NintendoE3,three house march spring 
200,"AHHHH
here we go
#NintendoDirect",three house march spring 
201,"RT @NintendoES: ¡El #NintendoDirect: #E32018 ha comenzado! #NintendoE3

Síguelo aquí: https://t.co/b5qWa2Lohs https://t.co/NSELAGf11i",three house march spring 
202,It's starting #E32018 #NintendoE3,three house march spring 
203,Nintendo Direct time. What’s up?! #NintendoE3 #E3,three house march spring 
204,The stream keeps going nuts. Hope it doesn't keep it all the way through. #E32018 #NintendoE3,three house march spring 
205,THIS IS IT #Nintendo #NintendoE3 #NintendoDirect #NintendoE32018 #NintendoSwitch #E32018 #E3 https://t.co/QbOKKPExLb,three house march spring 
206,"SHOW TIME FOLKS
LETS GO NINTENDO 
#NintendoE3",three house march spring 
207,"It begins.
#NintendoE3 #E32018",new fire emblem switch so excited 
208,RT @CelopanYT: VIENDO EL NINTENDO DIRECT CON VOSOTROS!! #NintendoE3 https://t.co/IsuHMxK9Jt,three house march spring 
209,"RT @gamespot: Nintendo Direct is LIVE featuring Super Smash Bros. #NintendoE3 #GameSpotE3 #E32018
https://t.co/rzIoabbhll",three house march spring 
210,Let’s-a go. #NintendoE3,three house march spring 
211,"Alright, Nintendo. I woke up early for you. Time to wow me. #NintendoE3 #E32018",three house march look beautiful launching spring 
212,"RT @GBomber465: ""Woah, woah, ladies! I'm a smash fighter too!""
#SmashSwitch #NintendoE3 https://t.co/FPgjrVl0mq",three house march spring 
213,"RT @NintendoUK: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/oaX0wLj50t https://t.co/ulu80cPSWf",three house march spring 
214,AHHHHHH #NintendoDirect,three house march spring 
215,HERE WE GO. #NintendoE3,three house march spring 
216,It is about to start! #E32018 #NintendoDirect,three house march spring 
217,¡Ya empieza! #E32018 #NintendoE3 https://t.co/cGnO5ycrWN,three house march spring 
218,"Please drop Pikmin. I want it sooo bad, Super smash brothers too #NintendoE3",ok ac smash reveal console three house edition switch 
219,QUE COMIENZAAAAA #NintendoE3 #E32018 https://t.co/Dv0EFIdf98,three house march spring 
220,RT @anicrossing2: #NintendoE3 https://t.co/zrAPt1ITD0,three house march spring 
221,"RT @E3: It's almost time for #NintendoE3! Put your Switch down, pick up your computer or phone and head to https://t.co/Oqi6XTNjbD to see e…",three house march spring 
222,Let's go #NintendoE3,three house march spring 
223,RT @kaze_n0_takuto: IT'S TIME #NintendoE3 https://t.co/AGH60YFSxP,three house march spring 
224,LETSAGO #NintendoE3,three house march spring 
225,HERE WE GO! #Nintendo #NintendoE3 #Nintendo3DS #NintendoSwitch #E3 #E32018 #Nintendo2018 #mario #pokemon #zelda,new longer stuck warrior switch fire emblem three house coming spring 
226,BIG BLUE ME #NintendoE3,three house march spring 
227,RT @lannaslay: Here we go !!! #NintendoDirect https://t.co/8d69T9NHJZ,bitch new fe game 
228,Here we go!! #NintendoE3,three house march spring 
229,#NintendoDirect bye ca commence,three house march spring 
230,Jademy! #NintendoE3 #E32018,is sleeping 
231,"I assume today's Nintendo Direct will be heavy on Smash Bros, and who can blame them. BUT, I'm really hoping for so… https://t.co/ja4FxoWWQ4",news control army one look not hero 
232,#NintendoE3 #E32018,three house march spring 
233,"RT @NintendoItalia: Il #NintendoDirect: #E32018 è iniziato! #NintendoE3

Seguilo qui: https://t.co/83SNnCxtC5 https://t.co/Q3oz45kxbc",okay new fire emblem actually look amazing may first dive series 
234,this extreme level of overreaction is g*merg*te all over again https://t.co/bTqsqHfIEc,new fire emblem switch so excited 
