,cleanedtext,standardized
35288,holy shit ,['smashbros']
35320,did it ,['smashbros']
35327,kept waiting ,['smashbros']
35340,young link ,['smashbros']
35353,ice climbers confirmed switch ,['smashbros']
35375,mr is here talk about recently announced super game ,['smashbros']
35379,right now watching ,['smashbros']
35389,wow line up is insane wait play it ,['smashbros']
35391,ese rooster ,['smashbros']
35392,all characters are returning ,['smashbros']
35397,tripping out right now doing every character ,['smashbros']
35421,most surprising thing so far is think incredible roster characters know ,['smashbros']
35455,is literally every character smash ever right ,"['smashbros', 'smashbros']"
35469,snake ,['smashbros']
35475,is here ,['smashbros']
35484,mr is here talk about recently announced super game ,['smashbros']
35486,is here ,['smashbros']
35511,news smash is in it be ,['smashbros']
35513,help me please help me losing music ,['smashbros']
35516,is back ,['smashbros']
35528,snake is back in smash ,['smashbros']
35538,oh god is be best game all time roster ,['smashbros']
35569,un long par ,['smashbros']
35588,ha ever ,['smashbros']
35598,holy shit is back heart handle ,['smashbros']
35630,snake is in is here it is be one hell roster ,['smashbros']
35655,is welcome back toon link young link as characters ,['smashbros']
35657,are in too ,['smashbros']
35660,so shook core rn ,['smashbros']
35676,yes is returning ,['smashbros']
35678,is here ,['smashbros']
35687,super smash brothers ultimate ,['smashbros']
35691,hype is real ,['smashbros']
35693,wolf has done it is best game ,['smashbros']
35721,mr is here talk about recently announced super game ,['smashbros']
35766,is here ,['smashbros']
35768,wolf is back ,['smashbros']
35789,ice climbers back trainer too even snake ,['smashbros']
35792,right now watching ,['smashbros']
35807,breath wild link in smash ,['smashbros']
35831,super smash ultimate ,['smashbros']
35839,wait every character ever in smash game is back ,['smashbros']
35856,holy crap it really is ,['smashbros']
35869,holy shit roster is amazing ,['smashbros']
35872,stop can only nut so much ,['smashbros']
35873,now video who do want in it ,['smashbros']
35878,is here ,['smashbros']
35896,is back ,['smashbros']
35899,wolf yes ,['smashbros']
35915,snake snake ,['smashbros']
35919,halt ,['smashbros']
35920,holy god is amazing ,['smashbros']
35927,infinity wars is biggest hold beer ,['smashbros']
35935,in gets me excited loser ,['smashbros']
35951,saved last perfect ,['smashbros']
35972,why not ,['smashbros']
35989,wow only so big smash head character ever had is in roster holy shit ,['smashbros']
36033,super smash ultimate ,['smashbros']
36041,back main roster new link skins as expected maybe new moves snake is back ,['smashbros']
36058,no way every smash character are in ,['smashbros']
36081,cue pretty much ballistic ,['smashbros']
36098,holy fuck ,['smashbros']
36100,wait all are returning ,['smashbros']
36104,yes all wanted was ,['smashbros']
36105,is ,['smashbros']
36123,super smash ultimate like it ,['smashbros']
36161,why am getting excited game play ,['smashbros']
36178,amount character is insane ,['smashbros']
36186,yes back holy hell got an improved final smash ,['smashbros']
36197,well shit guess need switch now ,['smashbros']
36200,will ,['smashbros']
36214,every character is in awesome ,['smashbros']
36262,dead ,['smashbros']
36271,snake is back is not drill ,['smashbros']
36287,tease us so many fighters ,['smashbros']
36289,snake is back in smash ,['smashbros']
36304,am so hype ,['smashbros']
36317,super smash ultimate ,['smashbros']
36329,smash hyped ,['smashbros']
36340,basically ever been in game is here ,['smashbros']
36377,need artwork now ,['smashbros']
36378,give us release date direct ,['smashbros']
36391,is like in games like every previous character ever ,['smashbros']
36405,wow pas ultimate content ,['smashbros']
36422,si ,['smashbros']
36438,snake ,['smashbros']
36456,ultimate ,['smashbros']
36464,real nigga wolf ,['smashbros']
36467,back at it again in smash ,['smashbros']
36475,holy shit snake is back holy shit snake is ,['smashbros']
36483,super smash ,['smashbros']
36491,super smash ultimate ,['smashbros']
36516,wow ,['smashbros']
36529,is here holy shit is question biggest ever ,['smashbros']
36548,whole roster is back ,['smashbros']
36554,mgs hat snake ,['smashbros']
36555,smash smash smash ,"['pokemonletsgo', 'smashbros']"
36556,are some lineups ,['smashbros']
36562,did really have wait long show man trembling here ,['smashbros']
36569,dying ,['smashbros']
36580,les ils ,['smashbros']
36581,roster switch is insane ,['smashbros']
36586,is here ,['smashbros']
36615,so is like every smash game put together ,['smashbros']
36630,is back young link wolf man ,['smashbros']
36671,is here ,['smashbros']
36684,is here every fighter in history is joining battle in super ultimate ,['smashbros']
36701,yeah good name need next one ,['smashbros']
36722,come someone new please ,['smashbros']
36745,is here ,['smashbros']
36768,dead ,['smashbros']
36770,ci in smash ,['smashbros']
36785,there are an insane amount characters in super smash so excited ,['smashbros']
36798,is here every fighter in history is joining battle in super ultimate ,['smashbros']
36800,roster is bananas ,['smashbros']
36828,roster is huge ,['smashbros']
36829,roster ,['smashbros']
36845,allows rejoin roster ,"['smashbros', 'smashbros']"
36853,yeah cloud is ,['smashbros']
36857,wolf has been freed ,['smashbros']
36862,literally ,['smashbros']
36870,all prior games is back ,['smashbros']
36896,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
36903,smash ultimate ,['smashbros']
36910,have do like ,['smashbros']
36928,ice climbers are back ,['smashbros']
36933,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
36934,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
36939,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
36955,here is here ,['smashbros']
36967,are all ,['smashbros']
36978,won all over ,['smashbros']
36980,super smash ultimate will feature every character history series ,['smashbros']
36993,super ultimate ,['smashbros']
36996,sweet whole roster is back ,['smashbros']
37003,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37011,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37012,cloud snake on sold ,['smashbros']
37013,is so hype screaming ,['smashbros']
37017,oh god pulled it out hat incredible ,['smashbros']
37031,snake is in is here it is be one hell roster ,['smashbros']
37032,got ,['smashbros']
37037,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37038,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37039,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37041,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37042,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37046,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37050,cool title ,['smashbros']
37057,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37058,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37063,snake is back in smash ,['smashbros']
37067,announced features smash history ,['smashbros']
37069,roster just keeps getting better better ,['smashbros']
37079,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
37084,brought all rosters back licensing hell must have been ,['smashbros']
37087,is here every fighter in history is joining battle in super ultimate on ,['smashbros']
